File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_hw9_ist341_spr25 (1).py,551,45.5535390199637,8.52994555353902,25.58983666061706,4,14.25,7,4.0,26,1,1.2574892044067383,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3512/final|hw6pr2digit_modeler .py,769,46.94408322496749,1.8205461638491547,25.617685305591674,3,12.666666666666666,12,5.666666666666667,32,1,1.3295800685882568,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3512/final|hw2pr1 .py,619,37.47980613893376,2.7463651050080773,32.956381260096926,7,17.0,6,5.166666666666667,28,2,timeout,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_357/final|hw0pr1 .py,628,31.528662420382165,9.235668789808917,32.802547770700635,16,8.875,16,4.5,83,1,timeout,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_354/final|hw6pr2digit_modeler .py,132,5.303030303030303,0.0,41.66666666666667,0,0,0,0,2,0,1.5196051597595215,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_356/final|hw0pr1 .py,637,30.298273155416013,8.948194662480377,32.81004709576138,16,11.0,19,4.421052631578948,77,1,timeout,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Assignment_1_Notebook_ (1).py,547,21.755027422303474,1.4625228519195612,27.056672760511884,2,71.0,0,0,57,1,1.3601000308990479,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_CGU_Week2__&_.py,688,31.1046511627907,14.534883720930234,30.08720930232558,22,11.545454545454545,0,0,80,2,1.3696539402008057,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_356/final|hw5pr1birth_cleaner .py,165,46.06060606060606,1.2121212121212122,34.54545454545455,1,3.0,3,2.0,8,1,1.3798961639404297,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3511/final|hw0pr1 .py,648,30.09259259259259,9.104938271604938,32.407407407407405,16,10.375,23,4.0,95,1,timeout,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_357/final|hw5pr2digit_cleaner .py,76,46.05263157894737,0.0,25.0,0,0,0,0,4,0,1.366363763809204,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_353/final|hw2pr1 .py,672,39.88095238095239,5.059523809523809,29.464285714285715,8,16.125,2,5.5,22,2,timeout,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_hw8_ist341_spr24 (1).py,1172,39.249146757679185,1.3651877133105803,27.13310580204778,5,13.6,20,6.95,58,1,1.332740068435669,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/ECON176-Data/assignments postllm/submissions_econ176_sp2025/submission_1762/final|Assignment 1- .py,373,23.59249329758713,5.093833780160858,29.49061662198391,4,8.0,7,5.857142857142857,30,1,timeout,ECON176,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_all_in_one_iris_modeler_DT_RF(+).py,1415,28.339222614840992,2.402826855123675,20.353356890459366,9,12.777777777777779,31,7.645161290322581,228,1,1.3511569499969482,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_all_in_one_iris_modeler__and_.py,958,35.281837160751564,3.3402922755741122,22.860125260960334,8,13.875,19,8.052631578947368,131,1,1.3496367931365967,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Assignment_3_Notebook_.py,1296,24.382716049382715,11.265432098765432,29.706790123456788,39,12.128205128205128,42,6.642857142857143,203,3,timeout,IST341,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_Week_5_CGU_For_libraries,_for_lists,_for_the_win__and_.py",922,28.524945770065074,9.436008676789589,34.924078091106296,15,11.066666666666666,14,5.285714285714286,85,3,timeout,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3510/final|hw5pr2digit_cleaner .py,125,39.2,0.0,39.2,0,0,0,0,2,0,1.2417311668395996,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|copy_of_Progress_Report_M_&_.py,240,16.666666666666664,0.0,31.25,0,0,0,0,2,0,1.3730289936065674,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_358/final|hw0pr1 .py,646,30.185758513931887,9.13312693498452,32.19814241486068,16,10.375,23,4.0,95,1,timeout,CS35,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Another_copy_of_CGU_IST_341_Week_3_Functions,_Loops,_and_(_and_)).py",1178,24.95755517826825,15.534804753820033,31.918505942275043,39,10.76923076923077,33,4.909090909090909,172,3,1.3257031440734863,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_355/final|hw2pr1 .py,888,33.78378378378378,6.6441441441441444,31.41891891891892,7,32.714285714285715,9,6.333333333333333,32,2,timeout,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|all_in_one_iris_modeler_ipynb__&_.py,770,21.948051948051948,2.3376623376623376,28.44155844155844,9,9.666666666666666,21,5.380952380952381,78,1,1.3293938636779785,IST341,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|CGU_Week2_Strings,_Slicing,_and_Functions__&_ (1).py",586,24.744027303754265,4.778156996587031,26.791808873720136,21,10.952380952380953,1,4.0,110,2,1.310791015625,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_355/final|hw3pr1 .py,583,23.842195540308747,27.615780445969122,31.903945111492284,10,20.9,11,6.0,50,2,1.9013900756835938,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_355/final|hw5pr2digit_cleaner .py,136,44.11764705882353,1.4705882352941175,35.294117647058826,1,3.0,3,2.0,8,1,1.2986071109771729,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_356/final|hw8pr0final_project_exploration .py,7,71.42857142857143,0.0,28.57142857142857,0,0,0,0,2,0,1.2961809635162354,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3510/final|hw8pr0final_project_exploration .py,7,71.42857142857143,0.0,28.57142857142857,0,0,0,0,2,0,1.3196430206298828,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_355/final|hw1pr1 .py,1196,23.160535117056856,13.127090301003344,27.341137123745817,19,31.473684210526315,46,13.847826086956522,315,2,1.3590550422668457,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_hw7_ist341_spr24 (2).py,1112,40.55755395683453,2.158273381294964,29.04676258992806,7,9.857142857142858,19,5.2631578947368425,50,1,1.2537357807159424,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|hw9_ist341_spr25_ipynb__and_ (1).py,924,27.92207792207792,5.735930735930736,28.8961038961039,8,15.25,10,4.6,43,1,1.3341288566589355,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_355/final|hw0pr1 .py,707,28.28854314002829,8.76944837340877,32.248939179632245,16,9.75,21,3.9523809523809526,78,1,timeout,CS35,sp2025,2025
