File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered,Project Type,Semester,Year
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/summer cs5 2024 section 1/submission_256825475/Game Of Life-Original.py,691,41.3055173650547,11,79,2,5,gameOfLife,summer cs5 2024 section 1,520241
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295418970/final.py,220,41.45822911455728,5,26,2,4,vPython,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294954375/finalproject.py,294,20.291381428822184,15,108,3,5,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_293708486/final.py,241,9.924917878930085,13,83,4,7,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/summer cs5 2024 section 1/submission_256825475/Game Of Life-Majority Vote.py,703,40.20901447921532,11,97,2,5,gameOfLife,summer cs5 2024 section 1,520241
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_298286115/final.py,400,7.877148313176319,14,163,4,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295283693/final.py,443,12.778891115564461,17,101,3,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/summer cs5 2024 section 2/submission_258402548/final.py,382,10.533159947984394,2,148,1,5,textGame_keywords,summer cs5 2024 section 2,520242
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_293688640/final (1).py,241,9.924917878930085,13,83,4,7,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295416350/Textmodel.py,406,32.623682076236825,15,66,3,7,textID,2024 post llm cs5,20245
