File Name,LOC,Comment Percentage,Docstring Percentage,Empty Percentage,Number Of Functions,Number of Loops,CycloComplexity,Average Function Length,Max Depth,Execution Time,Weeks Covered,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12396892/final.py,386,33.679,79.01554404145078,22.020725388601036,9,52,42.888888888888886,10,2,1.283,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7879832/user_interface.py,271,7.749,7.011070110701106,8.856088560885608,8,92,33.875,13,2,1.261,5,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12323895/final.py,628,5.096,21.019108280254777,14.012738853503183,26,243,24.153846153846153,30,5,1.306,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7870878/nytimes_scraping-2.py,452,17.92,26.769911504424783,23.45132743362832,8,44,56.5,-1,5,1.317,6,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12478494/Final.py,2,50.0,0.0,0.0,0,2,0.0,0,0,1.26,1,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12413948/final.py,455,7.692,16.263736263736263,16.7032967032967,28,167,16.25,30,4,1.277,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12409168/final.py,301,0.0,9.634551495016613,31.561461794019937,15,89,20.066666666666663,22,2,1.258,8,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7870878/clean_24000.py,18,11.111,0.0,16.666666666666664,1,6,18.0,1,1,1.264,3,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12390318/porter.py,357,4.482,34.45378151260504,10.92436974789916,17,241,21.0,5,2,1.277,7,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12312854/final.py,309,24.919,12.297734627831716,16.50485436893204,12,66,25.75,1,2,1.255,4,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12397667/final.py,556,30.036,22.12230215827338,19.964028776978417,13,125,42.76923076923077,9,2,1.254,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12396843/final.py,382,27.225,16.230366492146597,18.06282722513089,16,98,23.875,7,2,1.28,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7848442/chrome_driver_test.py,11,27.273,0.0,9.090909090909092,0,2,0.0,0,0,1.272,2,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7512256/statscraper.py,34,8.824,0.0,14.705882352941178,2,12,17.0,1,1,1.29,5,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12371512/final.py,466,18.67,16.523605150214593,18.240343347639485,14,69,33.285714285714285,-1,3,1.272,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12389420/final.py,379,13.456,25.857519788918204,23.48284960422164,14,50,27.071428571428573,19,3,1.314,7,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12416134/final/final.py,407,25.553,19.41031941031941,13.513513513513514,15,65,27.133333333333333,12,3,1.272,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12303501/final.py,584,10.274,18.15068493150685,26.54109589041096,26,202,22.46153846153846,26,3,1.275,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12444849/final.py,346,25.434,12.716763005780344,21.67630057803468,13,60,26.615384615384617,8,2,1.27,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7854491/sentiment.py,27,3.704,7.4074074074074066,25.925925925925924,1,6,27.0,1,1,1.253,3,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12437800/final.py,284,35.211,15.845070422535212,20.070422535211268,9,42,31.555555555555557,5,1,1.305,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12396349/porter.py,357,4.482,34.45378151260504,10.92436974789916,17,241,21.0,5,2,1.269,7,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7864835/jump.py,341,19.062,13.48973607038123,24.04692082111437,14,61,24.357142857142858,-1,4,1.288,6,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12331177/final.py,531,5.085,21.657250470809792,11.299435028248588,25,223,21.24,35,3,1.298,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12413676/CS5 final Project.py,570,22.456,8.070175438596491,14.736842105263156,13,200,43.84615384615385,11,1,1.282,4,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12413535/final.py,371,29.111,12.129380053908356,19.40700808625337,11,82,33.72727272727273,9,2,1.285,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12307578/final.py,363,36.639,14.87603305785124,18.732782369146005,10,48,36.3,4,2,1.246,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12383169/final.py,403,8.189,27.79156327543425,12.40694789081886,24,160,16.791666666666668,20,3,1.254,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12306957/final.py,644,4.037,25.77639751552795,15.062111801242237,31,203,20.774193548387096,36,4,1.283,6,CS5,s2018,2018
